,Temperature,Clouds,Visibility,Humidity,Pressure,WindSpeed,hour_sin,hour_cos,sin_day_of_month,cos_day_of_month,daylight_duration,Weather_encoded,WeatherDescription_encoded
2024-04-01 11:00:00,22.95999999999998,51.0,10000.0,40.0,1003.0,3.55,0.7071067811865476,-0.7071067811865475,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,0.0
2024-04-01 11:15:00,22.95999999999998,51.0,10000.0,40.0,1003.0,3.55,0.7071067811865476,-0.7071067811865475,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,0.0
2024-04-01 11:30:00,22.95999999999998,51.0,10000.0,40.0,1003.0,3.55,0.7071067811865476,-0.7071067811865475,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,0.0
2024-04-01 11:45:00,22.95999999999998,51.0,10000.0,40.0,1003.0,3.55,0.7071067811865476,-0.7071067811865475,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,0.0
2024-04-01 12:00:00,19.75,64.0,10000.0,60.0,1003.0,5.88,1.2246467991473532e-16,-1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,0.0
2024-04-01 12:15:00,19.75,64.0,10000.0,60.0,1003.0,5.88,1.2246467991473532e-16,-1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,0.0
2024-04-01 12:30:00,19.75,64.0,10000.0,60.0,1003.0,5.88,1.2246467991473532e-16,-1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,0.0
2024-04-01 12:45:00,19.75,64.0,10000.0,60.0,1003.0,5.88,1.2246467991473532e-16,-1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,0.0
2024-04-01 13:00:00,19.75,64.0,10000.0,60.0,1003.0,5.88,1.2246467991473532e-16,-1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,0.0
2024-04-01 13:15:00,19.75,64.0,10000.0,60.0,1003.0,5.88,1.2246467991473532e-16,-1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,0.0
2024-04-01 13:30:00,19.75,64.0,10000.0,60.0,1003.0,5.88,1.2246467991473532e-16,-1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,0.0
2024-04-01 13:45:00,19.75,64.0,10000.0,60.0,1003.0,5.88,1.2246467991473532e-16,-1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,0.0
2024-04-01 14:00:00,19.75,64.0,10000.0,60.0,1003.0,5.88,1.2246467991473532e-16,-1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,0.0
2024-04-01 14:15:00,19.75,64.0,10000.0,60.0,1003.0,5.88,1.2246467991473532e-16,-1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,0.0
2024-04-01 14:30:00,19.75,64.0,10000.0,60.0,1003.0,5.88,1.2246467991473532e-16,-1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,0.0
2024-04-01 14:45:00,19.75,64.0,10000.0,60.0,1003.0,5.88,1.2246467991473532e-16,-1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,0.0
2024-04-01 15:00:00,17.689999999999998,88.0,10000.0,71.0,1001.0,4.44,-0.7071067811865471,-0.7071067811865479,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 15:15:00,17.689999999999998,88.0,10000.0,71.0,1001.0,4.44,-0.7071067811865471,-0.7071067811865479,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 15:30:00,17.689999999999998,88.0,10000.0,71.0,1001.0,4.44,-0.7071067811865471,-0.7071067811865479,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 15:45:00,17.689999999999998,88.0,10000.0,71.0,1001.0,4.44,-0.7071067811865471,-0.7071067811865479,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 16:00:00,17.689999999999998,88.0,10000.0,71.0,1001.0,4.44,-0.7071067811865471,-0.7071067811865479,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 16:15:00,17.689999999999998,88.0,10000.0,71.0,1001.0,4.44,-0.7071067811865471,-0.7071067811865479,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 16:30:00,17.689999999999998,88.0,10000.0,71.0,1001.0,4.44,-0.7071067811865471,-0.7071067811865479,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 16:45:00,17.689999999999998,88.0,10000.0,71.0,1001.0,4.44,-0.7071067811865471,-0.7071067811865479,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 17:00:00,17.689999999999998,88.0,10000.0,71.0,1001.0,4.44,-0.7071067811865471,-0.7071067811865479,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 17:15:00,17.689999999999998,88.0,10000.0,71.0,1001.0,4.44,-0.7071067811865471,-0.7071067811865479,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 17:30:00,17.689999999999998,88.0,10000.0,71.0,1001.0,4.44,-0.7071067811865471,-0.7071067811865479,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 17:45:00,17.689999999999998,88.0,10000.0,71.0,1001.0,4.44,-0.7071067811865471,-0.7071067811865479,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 18:00:00,11.899999999999975,87.0,10000.0,91.0,1002.0,4.56,-1.0,-1.8369701987210297e-16,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-01 18:15:00,11.899999999999975,87.0,10000.0,91.0,1002.0,4.56,-1.0,-1.8369701987210297e-16,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-01 18:30:00,11.899999999999975,87.0,10000.0,91.0,1002.0,4.56,-1.0,-1.8369701987210297e-16,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-01 18:45:00,11.899999999999975,87.0,10000.0,91.0,1002.0,4.56,-1.0,-1.8369701987210297e-16,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-01 19:00:00,11.899999999999975,87.0,10000.0,91.0,1002.0,4.56,-1.0,-1.8369701987210297e-16,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-01 19:15:00,11.899999999999975,87.0,10000.0,91.0,1002.0,4.56,-1.0,-1.8369701987210297e-16,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-01 19:30:00,11.899999999999975,87.0,10000.0,91.0,1002.0,4.56,-1.0,-1.8369701987210297e-16,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-01 19:45:00,11.899999999999975,87.0,10000.0,91.0,1002.0,4.56,-1.0,-1.8369701987210297e-16,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-01 20:00:00,11.899999999999975,87.0,10000.0,91.0,1002.0,4.56,-1.0,-1.8369701987210297e-16,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-01 20:15:00,11.899999999999975,87.0,10000.0,91.0,1002.0,4.56,-1.0,-1.8369701987210297e-16,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-01 20:30:00,11.899999999999975,87.0,10000.0,91.0,1002.0,4.56,-1.0,-1.8369701987210297e-16,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-01 20:45:00,11.899999999999975,87.0,10000.0,91.0,1002.0,4.56,-1.0,-1.8369701987210297e-16,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-01 21:00:00,10.410000000000023,100.0,10000.0,91.0,1004.0,1.22,-0.7071067811865477,0.7071067811865474,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-01 21:15:00,10.410000000000023,100.0,10000.0,91.0,1004.0,1.22,-0.7071067811865477,0.7071067811865474,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-01 21:30:00,10.410000000000023,100.0,10000.0,91.0,1004.0,1.22,-0.7071067811865477,0.7071067811865474,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-01 21:45:00,10.410000000000023,100.0,10000.0,91.0,1004.0,1.22,-0.7071067811865477,0.7071067811865474,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-01 22:00:00,10.410000000000023,100.0,10000.0,91.0,1004.0,1.22,-0.7071067811865477,0.7071067811865474,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
2024-04-01 22:15:00,10.410000000000023,100.0,10000.0,91.0,1004.0,1.22,-0.7071067811865477,0.7071067811865474,0.20791169081775931,0.9781476007338057,12.752222222222223,2.0,4.0
