Time,Temperature,Clouds,Visibility,Humidity,Pressure,WindSpeed,hour_sin,hour_cos,sin_day_of_month,cos_day_of_month,daylight_duration,Weather_encoded,WeatherDescription_encoded,SolarPower
2024-03-08 15:30:00,5.99,100,10000,78,1018,2.02,-0.7071067811865471,-0.7071067811865479,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,2940
2024-03-08 15:45:00,6.19,100,10000,78,1018,2.02,-0.7071067811865471,-0.7071067811865479,0.9945218953682734,-0.10452846326765333,11.508611111111112,2,4,4710
2024-03-08 16:00:00,6.13,100,10000,74,1018,1.71,-0.8660254037844385,-0.5000000000000004,0.9945218953682734,-0.10452846326765333,11.508611111111112,2,4,3310
2024-03-08 16:15:00,6.1,100,10000,78,1018,2.02,-0.8660254037844385,-0.5000000000000004,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,1020
2024-03-08 16:30:00,6.05,100,10000,82,1018,1.86,-0.8660254037844385,-0.5000000000000004,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,900
2024-03-08 16:45:00,5.96,100,10000,82,1018,1.86,-0.8660254037844385,-0.5000000000000004,0.9945218953682734,-0.10452846326765333,11.508611111111112,2,4,430
2024-03-08 17:00:00,5.93,100,10000,82,1018,1.86,-0.9659258262890683,-0.25881904510252063,0.9945218953682734,-0.10452846326765333,11.508611111111112,2,4,1960
2024-03-08 17:15:00,5.93,100,10000,82,1018,1.86,-0.9659258262890683,-0.25881904510252063,0.9945218953682734,-0.10452846326765333,11.508611111111112,2,4,680
2024-03-08 17:30:00,5.73,97,10000,88,1018,1.57,-0.9659258262890683,-0.25881904510252063,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 17:45:00,5.88,97,10000,88,1018,1.57,-0.9659258262890683,-0.25881904510252063,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 18:00:00,5.65,97,10000,88,1018,1.57,-1.0,-1.8369701987210297e-16,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 18:15:00,5.64,97,10000,88,1018,1.57,-1.0,-1.8369701987210297e-16,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 18:30:00,5.61,96,10000,92,1018,1.5,-1.0,-1.8369701987210297e-16,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 18:45:00,5.6,98,10000,88,1018,1.42,-1.0,-1.8369701987210297e-16,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 19:00:00,5.59,99,10000,90,1018,1.58,-0.9659258262890684,0.2588190451025203,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
2024-03-08 19:15:00,5.57,98,10000,88,1018,1.42,-0.9659258262890684,0.2588190451025203,0.9945218953682734,-0.10452846326765333,11.508611111111112,1,7,0
